# Na-Usdi-Agigage-Jitaga-Agisi.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
-Ꭰ|||*
-ᎡᎦ|-é:ga||Is now leaving to do it.
-ᎡᎸᎢ|-e:lv̌:ɂi||① Did for someone. ② Did towards someone.
-ᎡᎾ|-é:na||Just now left to do it.
-ᎡᏗ|-éhdi||① To do something for someone. ② To do something towards someone.
-ᎢᏌ|-ǐ:sa||Let do it again.
-ᎢᏏᎸᎢ|-isilv́:ɂi||Did it again.
-ᎢᏐᏗ|-ǐ:sohdi||To do it again.
-ᎢᏗ|-i̋:di||Is just about to do it.
-ᎤᎦ|-ú:ga||Let go somewhere to do it.
-ᎥᎭ|-v:ha||Should or would.
-ᎥᎾ|||*
-ᎥᏌᏅᎢ|-v̌:sáhnv́:ɂi||Did it again.
-ᎥᏍᏗ|-v́:sdi||To leave to do it.
-ᎥᏒᎢ|-v́:sv̌:ɂi||Left to do it.
-Ꭶ|||*
-Ꭸ|① -kē ② -ge̋||① Or is it? ② More of.
-ᎨᎢ|-ge̋:ɂi||More of.
-Ꮚ|||Just. Only.
-ᏍᎪ|||Is it?
-ᏍᏊ|||Also. Again.
-ᏒᎢ|-sv̋:ɂi||More than usual.
-Ꮷ|||Isn't it?
-ᏯᎢ|||① Truly. ② Pure.
ᎠᎩᎦᎨ|||Red.
ᎠᎩᎩᏍᏗ|||For me to eat.
ᎠᎩᎭ|||I have it.
ᎠᎩᏍᏕᎵᎭ|||He or she is helping me.
ᎠᎩᏍᏗ|||For eating.
ᎠᎩᏎᎦ|||He or she is leaving to get it.
ᎠᎩᏏ|||Female.
ᎠᎩᏘᏗ|||For me to bake it.
ᎠᎩᏚᏅᎩ|||I baked it.
ᎠᎩᏟᏐᏗ|||For me to gather it.
ᎠᎩᏩᏛᎲᎩ|||I found it.
ᎠᎩᏩᏟᏌᏅᎩ|||I gathered it.
ᎠᎩᏫᏍᏗ|||For me to plant it.
ᎠᎩᏫᏒᎩ|||I planted it.
ᎠᎩᏫᏛᎲᎩ|||I took it somewhere.
ᎠᎪᏩᏘᎭ|||He or she sees him, her, or it.
ᎠᎬᎭ||Ꭰ- ᎤᎬᎢ -ᎥᎭ|He or she would eat it.
ᎠᎬᎭᏍ||Ꭰ- ᎤᎬᎢ -ᎥᎭ -ᏍᎪ|Would he or she eat it?
ᎠᎭᏂ|||Here.
ᎠᎴ|||And. Or.
ᎠᎵᏍᏕᎵᏍᎪᎢ|||He or she usually helps.
ᎠᏂᎩᏒᎭ||ᎠᏂ- ᎤᎬᎢ -ᎥᎭ|They should or would eat it.
ᎠᏂᎩᏔ|||Seeds.
ᎠᏂᎾᎵ|||They are lazy.
ᎠᏂᏦᎢ|||Three.
ᎠᏃᏍᏓ|||They are good.
ᎠᏃᏍᏓᏍ|||Are they good?
ᎠᏆᏟᏌᏅᎩ|||I gathered it.
ᎠᏆᏤᎵ|||My.
ᎠᏆᏤᎵᎦᏯ||ᎠᎩ- ᎤᏤᎵᎢ -Ꭶ -ᏯᎢ|It is truly and solely mine.
ᎠᏋᏌ|① agwv̌:sa ② agwv̋:sa||① Myself. ② I alone.
ᎠᏎ|① ase ② ǎ:se||① Must. ② Maybe. Perhaps.
ᎠᏎᏃ|||But.
ᎠᏥᎳ|||① Fire. ② Watercress.
ᎠᏥᎵᏔᏅᎩ|||It was put into a container.
ᎠᏩᏔ|||He or she just found it.
ᎠᏴ|||I. Me.
ᎠᏴᏫ|||A person.
ᎡᎦ|||He or she is going.
ᎡᎮ|||He or she lived.
ᎡᎵᏊ|||Able to.
ᎡᎵᏊ ᏯᏩᏔ|||Maybe he or she can find it.
ᎡᎵᏊ ᏰᎾ|||Maybe he or she can go.
ᎡᎵᏊ Ᏹ-|||It might happen.
ᎡᎵᏊ ᏱᎬᎩᎪᏩᏔ|||Maybe they will see me.
ᎡᎵᏊ ᏱᎬᎩᎷᎦ|||Maybe they will kill me.
ᎡᎵᏊ ᏱᎯᎾᏌᎾᎦ|||Maybe you can pull it.
ᎡᎵᏊ ᏱᏖᎾ||Ᏹ- Ꮣ- ᎮᎾ|Maybe you can go towards me.
ᎡᎵᏊᏍ|||Is it possible?
ᎡᏆ|||Large.
ᎢᎦ|||Day.
ᎢᎦᏓ|||Some.
ᎢᎦᏓᏊ||ᎢᎦᏓ -Ꮚ|Just some.
ᎢᎩᎩᏍᏗ|||For all of us to eat.
ᎢᎩᎲᎭ||ᎢᎩ- ᎤᎲᎢ -ᎥᎭ|We all should or would have it.
ᎢᏌ|||Flour.
ᎢᏌᏍ|||Is it flour?
ᎢᏣᎵᎢ|||① You all are friends. ② Your all's friend.
ᎢᏣᏤᎵ|||Your all's
ᎢᏤᎾ|||Let you all go.
