# Na-Anijoi-Yona.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
-ᎡᎭ|-e:ha||Is doing for someone. Is doing towards someone.
-Ꭲ|||*
-ᎢᎶᎥᎢ|-ǐ:lóv̌:ɂi||Did it over and over.
-ᎥᎭ|-v:ha||Should do it. Would do it.
-ᎥᏌᏅᎢ|-v̌:sáhnv́:ɂi||Did it again.
-ᏍᎪ|||Yes or no?
-Ꮸ|-jv̋||Very.
ᎠᎨᏳᏣ|||A girl.
ᎠᎩᏍᏚᏅᎩ|||I closed it.
ᎠᎩᏠᏒᏍᏗ|||Stairs.
ᎠᎩᏲᏍᎬᎩ|||I was being hungry.
ᎠᎩᏲᏏ|||I'm hungry.
ᎠᎩᏲᏏᏌ|||I was hungry a little while ago.
ᎠᏁᎭ|||They are living. They are residing.
ᎠᏁᎮ|||They resided. They lived.
ᎠᏁᎰ|||They reside. They live.
ᎠᏁᏙᎭ|||They are walking about.
ᎠᏁᏙᎮ|||They were walking about.
ᎠᏂᎷᎦ|||They are arriving.
ᎠᏂᎷᏤᎭ||ᎠᏂ- ᎤᎷᏨᎢ -ᎡᎭ|They are arriving for him, her, or it.
ᎠᏂᏍᏚᎢᎠ|||They are opening it.
ᎠᏂᏒᏅᎭᏍ||ᎠᏂ- ᎤᏒᏅᎢ -ᎥᎭ -ᏍᎪ|Should or would they devour him, her, or it?
ᎠᏂᏔᎵ|||Two.
ᎠᏂᏟᎯᏱ|||Place where they sleep.
ᎠᏂᏯᎠ|||They are inside.
ᎠᏂᏴᎯᎭ|||They are entering.
ᎠᏆᏔᏛᎩ|||I knew it.
ᎠᏉᏞᏍᏗ|||I will be sitting.
ᎠᏕᎳ|||Money.
ᎠᏕᎳᏃ|||*
ᎠᏗᏔᏍᎨ|||He or she was drinking it.
ᎠᏟᏍᏙᏗ|||A container for a liquid.
ᎠᏥᏞ||ᎠᏥ- ᎤᏢᎢ|It was poured.
ᎠᏨᏯ|||Male.
ᎠᏯ|||He or she is inside.
ᎠᏯᎥ|||His or her being inside.
ᎠᏰᏟ|||① Center. Middle. ② Half of. ③ A half dollar.
ᎠᏲᎨ|||It was breaking.
ᎡᎭ|||He or she lives.
ᎡᎵᏊ ᏱᎨᏣᏩᏔ|||They might find you.
ᎡᎵᏊ ᏱᏕᏥᏩᏔ|||I may find them.
ᎡᏗᏩᏛᎲᎭ|||All of us should or would find him or her.
ᎡᏝᏪ|||Quiet.
ᎢᎪᎯᏓ|ǐ:gó:hi̋:da||① Until. ② A length of time.
ᎢᎸᎯᏳ|||Ever.
ᎢᎾᎨ|||A forest. Wilderness.
ᎢᎾᎨᎢ|||A forest. Wilderness.
ᎢᏕᎾ|||Let us all go.
ᎣᎦᏤᎵ|||Our.
ᎤᎦᏛᎴᏒᎢ|||His or her going through it.
ᎤᎴᎾᏞ|||He or she lost their way.
ᎤᎴᎾᏢᎢ|||His or her being lost.
ᎤᎴᏅᎮ|||It started. It began.
ᎤᎵᏍᏚᎢᏓ|||Open.
ᎤᎾᎦᏔᏁ|||They peeked through.
ᎤᎾᎦᏙᏍᏔᏁ|||They looked at him, her, or it.
ᎤᎾᎴᏅᎮ|||They started. They began.
ᎤᎾᏓᎾᏩᏍᏔᏁ|||They took off running.
ᎤᎾᏗᏔᏍᏗ|||For them to drink.
ᎤᎾᏤᎵ|||Their.
ᎤᎿᎸᏒ|||His or her being angry.
ᎤᏁᎦ|||White.
ᎤᏁᏓᏍᏗ|||For them to walk about.
ᎤᏁᏙᎴ|||They were walking about.
ᎤᏁᏟᏔᏁ|||He or she tried.
ᎤᏁᏥ|||Their offspring.
ᎤᏂᎦᏖᏃᎴ|||They looked around.
ᎤᏂᎪᎮ|||They saw him, her, or it.
ᎤᏂᎷᏤ|||They arrived.
ᎤᏂᎷᏨᎢ|||Their arrival.
ᎤᏂᎸᏉᏗ|||They like it.
ᎤᏂᎿᎸᎭ|||They are angry.
ᎤᏂᎿᎸᏎ|||They were angry.
ᎤᏂᎿᎸᏒ|||Their being angry.
ᎤᏂᏍᏚᎢᏒ|||Their opening it.
ᎤᏂᏪᏅᏒ|||Their going.
ᎤᏂᏴᏞ|||They entered.
ᎤᏂᏴᏢ|||Their entering.
ᎤᏃᏠ|||He or she sits.
ᎤᏅᏗ|||Milk.
ᎤᏍᏗᎧ|||Smaller.
ᎤᏍᏗᎧᏍ|||*
ᎤᏍᏗᏊ|||Just a little.
ᎤᏍᏘᎬ|||*
ᎤᏍᏘᎬᎢ|||His or her head of hair.
ᎤᏍᏚᎢᏍᏗ|||For him or her to open it.
ᎤᏔᎾ|||Big. Large.
ᎤᏔᎾᏍ|||*
ᎤᏗᏔᎮ|||He or she drank.
ᎤᏗᏔᎲᏌᏁ||ᎤᏗᏔᎲᎢ -ᎥᏌᏅᎢ|He or she drank again.
ᎤᏗᏔᎲᏌᏅ||ᎤᏗᏔᎲᎢ -ᎥᏌᏅᎢ|His or her drinking again.
ᎤᏗᏞᎦ|||Hot.
ᎤᏛᎦᏁ|||He or she heard him, her, or it.
ᎤᏢᏁ|||He or she fell asleep.
ᎤᏩᏂᎴ|||① He or she hit him, her, or it. ② He or she knocked.
ᎤᏪᏙᎸ|||His or her walking.
ᎤᏪᏙᎸᎭ|||He or she should or would be about.
ᎤᏪᏡᏂᎶᎡ||ᎤᏪᏡᏅᎢ -ᎢᎶᎥᎢ|He or she screamed over and over.
ᎤᏪᏡᏂᎶᎥ||ᎤᏪᏡᏅᎢ -ᎢᎶᎥᎢ|His or her screaming over and over.
ᎤᏬᏞ|||① He or she sat. ② He or she was home.
ᎤᏰᎶᎢᏍᏗ|||Suddenly.
ᎤᏰᏤ|||He or she woke up.
ᎤᏰᏤᏍ|||*
ᎤᏲᏍᏔᏅᎩ|||He or she broke it.
ᎤᏲᏍᏗ|||For it to break.
ᎤᏲᏏᏍᎨ|||He or she was becoming hungry.
ᎤᏲᏏᏐᏗ|||For him or her to be hungry.
ᎤᏲᏨ||ᎤᏲᎢ -Ꮸ|Poor. Very bad.
ᎤᏲᏨᎢ|||His, her, or its breaking.
ᎤᏴᏜ|||Cold.
ᎤᏴᏢᎢ|||His or her entering.
ᎦᎯᏯᏛᎩ|||You hear them.
ᎦᎯᏯᏛᎩᏍ|||Do you hear them?
ᎦᎯᏯᏛᎩᏧ|||*
ᎦᎶᎯᏍᏗ|||A door. A doorway.
ᎦᎶᎯᏍᏗᎢ|||A door. A doorway.
ᎦᏂᏟ|||A bed.
ᎦᏃᏍᎩᏍᎩ|||A thief.
ᎦᏅᎨ|||He or she was laying down.
ᎦᏍᎩᎶ|||① A chair. ② A table.
ᎦᏍᎩᎸ|||On the table. On the chair.
ᎦᏟᎮ|||He or she slept.
ᎦᏥᎪᏩᏘ|||I see them.
ᎦᏲᏟ|gà:yő:hli||A small amount.
ᎦᏲᏟᏊ|||Just a small amount.
ᎧᏅᏑᎸ|||*
ᎧᏅᏑᎸᎢ|||A room.
ᎨᏣᎷᏤᎭ||ᎨᏣ- ᎤᎷᏨᎢ -ᎡᎭ|They are arriving for you.
ᎪᎯᏓ|go:hi̋:da||A long time.
ᎬᏩᏁᏓᏍᏗ|||They can walk about.
ᎬᏩᏁᏓᏍᏗᏍ|||Can they walk about?
ᎬᏩᏂᎪᏩᏛᏗ|||They can see.
ᎭᏛᎩᏍ|||Don't you hear it?
ᎭᏛᏓᏍᏓ|||Listen.
ᎮᎾ|||Go.
ᎯᏃᏍᎩᏍᎩ|||You are a thief.
ᎯᏰᎩ|||Wake up.
ᎾᎯᏳᏃ|||And then.
ᏄᏪᏒᎢ|||His or her utterance.
ᏍᏓᏯᏒ|||Extra hard.
Ꮟ|||Wait. Yet. Still.
ᏐᎢ|||Another.
ᏓᎦᏗᏔᎯ|||I will drink it.
ᏓᎨᏣᏒᏂ|||They will devour you.
ᏓᎩᏏ|||① Terrapin turtle. ② A padlock. ③ A door knob.
ᏓᎩᏯᏪᎦ|||I am tired.
ᏓᏂᎴᎪ|||They climb them.
ᏓᏉᏢᎭ|||I should or would sit.
ᏓᏗᎪᎯ|||All of us will see.
ᏓᏰᏗᏩᏛᎯ|||All of us will find him or her.
ᏔᎵ|||Two.
ᏔᏟᏔᏚᎦ|táhltadù:ga||Jump.
ᏕᏥᎪᏩᏘ|||I see them.
ᏗᎦᏂᏟ|||Beds.
