# Gigage-Alsdulo-ale-Na-Galgwogi-Unaksojaneda-Anigina.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
-ᎥᎾ|||
-Ꭰ|||
ᎠᎩᎸᏉᏙᎢ|||
ᎾᎧ|||
Ꭼ|||
ᎥᏍᎩᏅ|||
ᎬᎬᎬ|||
Ꮝ|||
-ᎡᎦ|-é:ga||Is now going somewhere to do it.
-ᎡᎭ|-e:ha||Is doing for someone. Is doing towards someone.
-ᎡᎵ|-e:lī||Just now did for someone. Just now did towards someone.
-ᎡᎸᎢ|-e:lv̌:ɂi||Did for someone. Did towards someone.
-ᎡᏗ|-éhdi||To do something for someone. To do something towards someone.
-ᎢᏌ|-ǐ:sa||Let do it again.
-ᎢᏏᎸᎢ|-isilv́:ɂi||Did it again.
-ᎢᏐᏗ|-ǐ:sohdi||To do it again.
-ᎢᏗ|-i̋:di||Is just about to do it.
-ᎤᎦ|-ú:ga||Let go somewhere to do it.
-ᎥᎭ|-v:ha||Should do it. Would do it.
-ᎥᏌᏅᎢ|-v̌:sáhnv́:ɂi||Did it again.
-ᎥᏒᎢ|-v́:sv̌:ɂi||Went somewhere to do it.
-Ꭸ|① -kē ② -ge̋||① Or is it? ② More of.
-ᎨᎢ|-ge̋:ɂi||More of.
-Ꮚ|||Just. Only.
-ᏍᏊ|||Also. Again.
-ᏒᎢ|-sv̋:ɂi||More than usual.
-Ꮷ|||Isn't it?
Ꭰ|||Ah!
ᎠᎢᎦᏙᎲᏍᎪ|||They are usually wise.
ᎠᎢᏒᎢ|||His or her act of walking.
ᎠᎦᏴᎵ|||Old.
ᎠᎨᏳᏣ|||Girl.
ᎠᎨᏳᏣᎨ|||Or is it a girl?
ᎠᎩᎦᎨ|||Red.
ᎠᎩᎦᏘᏗᏍᏗ|||For me to wait.
ᎠᎩᎨᏳᎠ|||He or she is loves or is possessive over me.
ᎠᎩᎨᏳᏐ|||① I am always possessive over it. ② He or she always loves or is possessive over me.
ᎠᎩᎪᏩᏛᏗ|||For him or her to see me.
ᎠᎩᎮᏍᏗ|||For me to have it.
ᎠᎩᎵᏏ|||My maternal grandmother.
ᎠᎩᎸᏉᏗ|||I like it.
ᎠᎩᎸᏍᏗ|||For me to climb.
ᎠᎩᎾ|||Young animal.
ᎠᎩᏃᎮᏢᎩ|||I told him or her.
ᎠᎩᏎᎦ|||He or she is now going to get it.
ᎠᎩᏏ|||Female.
ᎠᎩᏒᏅᎭ|||He or she would devour me.
ᎠᎩᏒᏍᏗ|||For me to get into bed.
ᎠᎩᏢᎦ|||He or she is sick.
ᎠᎩᏥ|||My mother.
ᎠᎩᏬᏂᏒᎢ|||My speech.
ᎠᎩᏬᏂᏒᏌ|||He or she just now spoke to me.
ᎠᎩᏴᏍᏗ|||For me to enter.
ᎠᎪᎮᎨᏍᏗ|||He or she is going into order to see him, her, or it.
ᎠᎪᏩᏘᎭ|||He or she sees him, her, or it.
ᎠᎭᏂ|||Here.
ᎠᎰᎵᏃ|||And his or her mouth.
ᎠᎴ|||And. Or.
ᎠᎵᎮᎵᎦ|||He or she is happy or thankful.
ᎠᎵᏍᏓᏴᏗ|||A meal. Groceries.
ᎠᎵᏍᏕᎵᏍᎩ|||Helper.
ᎠᎵᏍᏚᎶ|||A head covering.
ᎠᎹᏱ|||In the water.
ᎠᎾᏟᏎ|||They were running.
ᎠᏁᏙᎰ|||They are walking about. They are here about.
ᎠᏂᎩᎾ|||Young animals.
ᎠᏂᎪᏩᏔ|||They just saw him, her, or it.
ᎠᏂᏎᎩ|||They are strange.
ᎠᏂᏎᎩᏒ|||They are unusually strange.
ᎠᏂᏔᎵ|||Two.
ᎠᏂᏦᎢ|||Three.
ᎠᏆᎵᏨᏯᏍᏗ|||I'm brave.
ᎠᏆᏗᏍᎦᎳᏅᎩ|||I hid.
ᎠᏆᏚᎵ|||I want it. He or she wants me.
ᎠᏆᏚᎵᎭ|||I want it. He or she wants me.
ᎠᏆᏛᏁᏗ|||For me to do it.
ᎠᏆᏜᏅᏓᏕᎭ|||I have time.
ᎠᏆᏤᎵ|||My.
ᎠᏇᏅᏍᏗ|||For me to go.
ᎠᏇᏓᏍᏗ|||For me to walk about.
ᎠᏇᏥ|||My child.
ᎠᏍᎪᎵ|||His or her head.
ᎠᏍᏗ|||Edge or boundary of.
ᎠᏍᏘ|||String.
ᎠᏍᏙᏍᎩᏱ|||A mill.
ᎠᏎ|① ase ② ǎ:se||① Must. ② Maybe. Perhaps.
ᎠᏎᏃ|||But.
ᎠᏎᏍᎩᏂ|||But.
ᎠᏎᏛ|a:sé:dv́||Maybe. Perhaps.
ᎠᏓᏃᏴᏟᏍᏗᎭ|||He, she, or it, is making noise.
ᎠᏓᏅᎾ|||It just moved.
ᎠᏜᏩᏛᎢ|||A pocket.
ᎠᏟᏎ|||He or she ran.
ᎠᏟᏒᎢ|||His or her running.
ᎠᏧᏣᏍ|||Is it a boy?
ᎠᏨᏯ|||Male.
ᎠᏰᎮ|||He or she held it in hand.
ᎠᏲᏟ|||Child.
ᎠᏴ|||I. Me.
ᎠᏴᎭ|||He or she had just entered.
ᎡᎦ|||He or she is going.
ᎡᎵᏊ|||Able to.
ᎡᎵᏊ Ᏹ-|||It might happen.
ᎡᎵᏍᏗ|e̋:lì:sdi||Evidently. In all likelihood. Probably.
ᎡᎵᏏ|||Maternal grandmother.
ᎡᏆ|||Large.
ᎡᏥ|||Mother.
ᎢᎦᏓ|||Some.
ᎢᎪᎯᏓ|||Until.
ᎢᎬᏱ|||First.
ᎢᎬᏱᎢ|||First.
ᎢᎸᎯᏳ|||Ever.
ᎢᎾ|||Far.
ᎢᎾᎨ|||Forest. Wilderness.
ᎢᎾᎨᎢ|||Forest. Wilderness.
ᎢᏅᎯ|||Too far.
ᎢᏌ|||Flour.
ᎢᏍᎩᏍᏕᎳ|||Let you all help me.
ᎢᏍᎩᏥ|||You, our mother.
ᎢᏓᎵᎮᎵᎦ|||We all are happy.
